ccode,VMAR_Region,GPOP,CPOP,GPRO,LANG,CUSTOM,BELIEF,RELIGS1,RACE,GROUPCON,GC119,GC2,GC6B,GC7,GC10,GC11,AUTLOST,YEARWT,MAGN,PRSTAT,SEPX,SEPKIN,EMIG,DISPLACE,POLDIS,ECDIS,CULPO1,CULPO2,GOJPA,AUTON2,AUTGAIN,AUTPRO,LEGISREP,EXECREP,GUARREP,POLGR,ECGR,CULGR,KINSUP,KINMATSUP,KINPOLSUP,KINMILSUP,STASUP,STAMATSUP,STAPOLSUP,STAMILSUP,NSASUP,NSAMATSUP,NSAPOLSUP,NSAMILSUP,INTRACON,FACTSEV1,FACTSEV2,FACTSEV3,INTERCON,CCGROUPSEV1,CCGROUPSEV2,CCGROUPSEV3,PROT,REB,REPGENCIV
339,3,4,6,0.02,1,1,2,2,0,3,2,1,3,3,2,3,0.5,4,1,2,1,0,0,0,1,3,0,1,2,0,-1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
339,3,4,6,0.02,1,1,2,2,0,3,2,1,3,3,2,3,0.5,4,1,2,1,0,0,0,1,3,0,1,2,0,-1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,3,4,6,0.02,1,1,2,2,0,3,2,1,3,3,2,3,0.5,4,1,2,1,0,0,0,1,3,0,1,2,0,-1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,3,5,6,0.252,1,0,2,5,0,3,3,1,3,3,3,3,1,5,3,3,3,1,1,0,1,1,1,1,3,0,-1,0,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1
343,3,5,6,0.252,1,0,2,5,0,3,3,1,3,3,3,3,1,5,3,3,3,1,1,0,1,1,1,1,3,0,-1,0,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1
343,3,5,6,0.252,1,0,2,5,0,3,3,1,3,3,3,3,1,5,3,3,3,1,1,0,1,1,1,1,3,0,-1,0,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1
343,3,4,6,0.0178,1,0,0,2,0,2,4,0,0,0,1,3,1.6666666667,3,3,3,3,1,0,0,0,0,2,0,2,0,-1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
343,3,4,6,0.0178,1,0,0,2,0,2,4,0,0,0,1,3,1.6666666667,3,3,3,3,1,0,0,0,0,2,0,2,0,-1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
343,3,4,6,0.0178,1,0,0,2,0,2,4,0,0,0,1,3,1.6666666667,3,3,3,3,1,0,0,0,0,2,0,2,0,-1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0
343,3,5,6,0.067,1,1,2,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,0,0,3,3,0,1,2,0,-1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,1
343,3,5,6,0.067,1,1,2,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,0,0,3,3,0,1,2,0,-1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,-1,0,3,0,1
343,3,5,6,0.067,1,1,2,5,1,1,5,0,0,0,1,1,0,1,1,0,0,0,0,0,3,3,0,1,2,0,-1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,1
344,3,5,6,0.045,2,0,1,2,0,1,2,0,0,0,1,3,2,1,1,2,3,1,0,0,3,3,1,0,2,0,-1,0,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0
344,3,5,6,0.045,2,0,1,2,0,1,2,0,0,0,1,3,2,1,1,2,3,1,0,0,3,3,1,0,2,0,-1,0,1,1,1,2,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0
344,3,5,6,0.045,2,0,1,2,0,1,2,0,0,0,1,3,2,1,1,2,3,1,0,0,3,3,1,0,2,0,-1,0,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
